round,overall_pick,player,position,college,position_group,immediate_monitoring_question,source_url,last_verified
2,35,TJ Parker,EDGE,Clemson,defense,does Parker earn a rotational pass-rush role opposite Rousseau and Chubb as a rookie,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
2,62,Davison Igbinosun,CB,Ohio State,defense,does Igbinosun win outside-corner snaps in a rebuilt secondary,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
4,102,Jude Bowry,OT,Boston College,offense,swing tackle/guard developmental depth,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
4,125,Skyler Bell,WR,UConn,offense,can Bell carve a depth receiver role behind Moore/Shakir/Coleman,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
4,126,Kaleb Elarms-Orr,LB,TCU,defense,linebacker depth behind Bernard and Milano,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
5,167,Jalon Kilgore,S,South Carolina,defense,safety depth/competition in a reworked back end,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
5,181,Zane Durant,DT,Penn State,defense,interior defensive-line rotation behind Ed Oliver,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
7,220,Toriano Pride Jr.,CB,,defense,depth corner and special-teams competition,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
7,239,Tommy Doman Jr.,P,Michigan,special_teams,rookie punter competing with Mitch Wishnowsky,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
7,241,Ar'maj Reed-Adams,OG,Texas A&M,offense,interior offensive-line developmental depth,https://www.buffalobills.com/news/full-list-of-buffalo-bills-2026-nfl-draft-picks,2026-08-13
