source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-pittsburgh-steelers,organization,Pittsburgh Steelers communications,Pittsburgh Steelers,Official team communications,official,essential,active,free,"roster; injuries; transactions; depth chart; conferences","Team analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use postgame source of record.",,,,2026-08-21
local-writer-brooke-pryor,person,Brooke Pryor,ESPN NFL Nation,Pittsburgh Steelers NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roster; organization","Record retrieval date for updated pieces.",,,,2026-08-21
local-writer-mike-defabo,person,Mike DeFabo,The Athletic,Steelers beat writer,reporting,essential,active,paid,"roster; contracts; scheme; organization","Separate reporting from analysis and podcast opinion.",,,,2026-08-21
local-writer-ray-fittipaldo,person,Ray Fittipaldo,Pittsburgh Post-Gazette,Steelers reporter,reporting,essential,active,paid,"practice; personnel; offensive line; depth chart","Summarize paywalled work and attribute.",,,,2026-08-21
local-writer-gerry-dulac,person,Gerry Dulac,Pittsburgh Post-Gazette,Steelers and NFL reporter,reporting,essential,active,paid,"organization; personnel decisions; coaching; breaking news","Separate sourced reporting from chats and opinion.",,,,2026-08-21
local-writer-chris-adamski,person,Chris Adamski,TribLive,Steelers beat reporter,reporting,valuable,active,free,"practice; injuries; roster; local beat","Separate beat reporting from radio analysis.",,,,2026-08-21
local-writer-nick-farabaugh,person,Nick Farabaugh,PennLive,Steelers beat reporter,reporting,valuable,active,mixed,"practice; film; offensive line; roster depth","Corroborate interpretive film conclusions.",,,,2026-08-21
local-writer-christopher-carter,person,Christopher Carter,Pittsburgh Post-Gazette,Steelers reporter and analyst,reporting,valuable,active,paid,"practice; defense; film; roles","Separate reporting from podcast discussion and projection.",,,,2026-08-21
local-writer-alex-kozora,person,Alex Kozora,Steelers Depot,Steelers film analyst and camp observer,analysis,valuable,active,free,"camp observations; film; offensive line; defensive front","Use as specialist analysis and corroborate news claims independently.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-21
