coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-nick-sirianni,Nick Sirianni,all,Head Coach,true,Head Coach,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-michael-clay,Michael Clay,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-vic-fangio,Vic Fangio,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.philadelphiaeagles.com/team/coaches/vic-fangio,2026-08-17
local-coach-sean-mannion,Sean Mannion,offense,Offensive Coordinator,false,,https://www.philadelphiaeagles.com/team/coaches/sean-mannion,2026-08-17
local-coach-clint-hurtt,Clint Hurtt,defense,Defensive Line / Senior Defensive Assistant / Associate Head Coach,true,Defensive Line / Senior Defensive Assistant,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-jemal-singleton,Jemal Singleton,offense,Running Backs / Assistant Head Coach,true,Running Backs / Assistant Head Coach,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-josh-grizzard,Josh Grizzard,offense,Offensive Passing Game Coordinator,false,,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-joe-kasper,Joe Kasper,defense,Defensive Passing Game Coordinator,true,Defensive Backs,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-ryan-mahaffey,Ryan Mahaffey,offense,Run Game Coordinator / Tight Ends,false,,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-roy-anderson,Roy Anderson,defense,Cornerbacks Coach,true,Cornerbacks Coach,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-parks-frazier,Parks Frazier,offense,Quarterbacks,true,Offensive Passing Game Coordinator,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-bobby-king,Bobby King,defense,Inside Linebackers Coach,true,Inside Linebackers Coach,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-chris-kuper,Chris Kuper,offense,Offensive Line,false,,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-aaron-moorehead,Aaron Moorehead,offense,Wide Receivers Coach,true,Wide Receivers Coach,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-mike-pellegrino,Mike Pellegrino,defense,Secondary,true,Secondary,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-jeremiah-washburn,Jeremiah Washburn,defense,Defensive Ends / Outside Linebackers,true,Defensive Ends / Outside Linebackers,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-jerrod-johnson,Jerrod Johnson,offense,Senior Offensive Analyst / Special Projects for the Head Coach,false,,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-joe-pannunzio,Joe Pannunzio,special_teams,Assistant Special Teams Coordinator and Director of Team Relationships,true,Assistant Special Teams Coordinator,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-greg-austin,Greg Austin,offense,Assistant Offensive Line Coach,true,Assistant Offensive Line Coach,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17
local-coach-tyler-brown,Tyler Brown,special_teams,Special Teams Assistant,true,Special Teams Assistant,https://www.philadelphiaeagles.com/team/coaches/,2026-08-17

