coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-mike-macdonald,Mike Macdonald,all,Head Coach,true,Head Coach,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-brian-fleury,Brian Fleury,offense,Offensive Coordinator,false,,https://www.seahawks.com/news/seahawks-hire-offensive-coordinator-brian-fleury,2026-08-17
local-coach-aden-durde,Aden Durde,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-jay-harbaugh,Jay Harbaugh,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-john-benton,John Benton,offense,Senior Offensive Assistant/Offensive Line,true,Offensive Line,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-mack-brown,Mack Brown,offense,Tight Ends,true,Tight Ends,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-thomas-hammock,Thomas Hammock,offense,Senior Offensive Assistant/Running Backs,false,,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-justin-outten,Justin Outten,offense,Run Game Coordinator,true,Run Game Specialist/Assistant Offensive Line,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-jake-peetz,Jake Peetz,offense,Offensive Passing Game Coordinator/Quarterbacks,true,Offensive Passing Game Coordinator,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-tyson-prince,Tyson Prince,offense,Quarterbacks Coach,true,Assistant Quarterbacks,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-frisman-jackson,Frisman Jackson,offense,Wide Receivers,true,Wide Receivers,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-daniel-stern,Daniel Stern,offense,Pass Game Strategist,false,,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-johnathan-williams,Johnathan Williams,offense,Offensive Assistant,false,,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-leslie-frazier,Leslie Frazier,defense,Assistant Head Coach,true,Assistant Head Coach,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-josh-bynes,Josh Bynes,defense,Outside Linebackers,true,Defensive Assistant,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-zach-orr,Zach Orr,defense,Inside Linebackers,false,,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-justin-hinds,Justin Hinds,defense,Defensive Line,true,Defensive Line,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-jeff-howard,Jeff Howard,defense,Safeties,true,Safeties,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-karl-scott,Karl Scott,defense,Defensive Passing Game Coordinator/Defensive Backs,true,Defensive Passing Game Coordinator/Defensive Backs,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-chris-partridge,Chris Partridge,defense,Defensive Run Game Coordinator,true,Outside Linebackers,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-kirk-olivadotti,Kirk Olivadotti,defense,Senior Defensive Assistant,true,Inside Linebackers,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
local-coach-neiko-thorpe,Neiko Thorpe,defense,Defensive Assistant/Defensive Backs,true,Defensive Assistant/Defensive Backs,https://www.seahawks.com/news/seattle-seahawks-finalize-2026-coaching-staff,2026-08-17
