coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-kellen-moore,Kellen Moore,Team,Head Coach,yes,Head Coach,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-doug-nussmeier,Doug Nussmeier,Offense,Offensive Coordinator,yes,Offensive Coordinator,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-joel-thomas,Joel Thomas,Offense,Associate Head Coach/Running Backs Coach,yes,Associate Head Coach/Running Backs Coach,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-tj-paganetti,T.J. Paganetti,Offense,Run Game Coordinator,yes,Run Game Coordinator,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-will-clapp,Will Clapp,Offense,Offensive Assistant,no,,https://www.neworleanssaints.com/news/press-releases,2026-08-17
local-coach-chase-haslett,Chase Haslett,Offense,Tight Ends,yes,Tight Ends,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-josh-hill,Josh Hill,Offense,Assistant Tight Ends,no,Pro Scout,https://www.neworleanssaints.com/team/coaches-roster/josh-hill,2026-08-17
local-coach-tobijah-hughley,Tobijah Hughley,Offense,Assistant Offensive Line,yes,Assistant Offensive Line,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-brendan-nugent,Brendan Nugent,Offense,Offensive Line,yes,Offensive Line,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-scott-linehan,Scott Linehan,Offense,Senior Offensive Assistant,yes,Senior Offensive Assistant,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-mike-martinez,Mike Martinez,Offense,Assistant To The Head Coach/Game Management Coordinator,yes,Assistant To The Head Coach/Game Management Coordinator,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-scott-tolzien,Scott Tolzien,Offense,Quarterbacks,yes,Quarterbacks,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-kyle-valero,Kyle Valero,Offense,Assistant Wide Receivers,yes,Assistant Wide Receivers,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-keith-williams,Keith Williams,Offense,Wide Receivers,yes,Wide Receivers,https://www.neworleanssaints.com/team/coaches-roster/keith-williams,2026-08-17
local-coach-brandon-staley,Brandon Staley,Defense,Defensive Coordinator,yes,Defensive Coordinator,https://www.neworleanssaints.com/team/coaches-roster/brandon-staley,2026-08-17
local-coach-terry-joseph,Terry Joseph,Defense,Defensive Pass Game Coordinator,yes,Defensive Pass Game Coordinator,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-robert-blanton,Robert Blanton,Defense,Assistant Defensive Backs,yes,Assistant Defensive Backs,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-grady-brown,Grady Brown,Defense,Cornerbacks,yes,Cornerbacks,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-bo-davis,Bo Davis,Defense,Defensive Line,yes,Defensive Line,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-peter-giunta,Peter Giunta,Defense,Senior Defensive Assistant,yes,Senior Defensive Assistant,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-adam-gristick,Adam Gristick,Defense,Assistant Linebackers Coach,yes,Assistant Linebackers Coach,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-jay-rodgers,Jay Rodgers,Defense,Edges,yes,Edges,https://www.neworleanssaints.com/team/coaches-roster/jay-rodgers,2026-08-17
local-coach-peter-sirmon,Peter Sirmon,Defense,Linebackers,yes,Linebackers,https://www.neworleanssaints.com/team/coaches-roster/peter-sirmon,2026-08-17
local-coach-brian-young,Brian Young,Defense,Assistant Defensive Line,yes,Assistant Defensive Line,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-phil-galiano,Phil Galiano,Special Teams,Special Teams Coordinator,yes,Special Teams Coordinator,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
local-coach-kyle-wilber,Kyle Wilber,Special Teams,Assistant Special Teams,yes,Assistant Special Teams,https://www.neworleanssaints.com/team/coaches-roster/,2026-08-17
