player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Adam Thielen,WR,Veteran receiver and 2023-24 target leader,Traded with picks to Minnesota,2025-08-27,Minnesota Vikings,"Cleared target share for Tetairoa McMillan, Jalen Coker, Xavier Legette, and younger receivers.",https://www.panthers.com/news/panthers-agree-to-trade-adam-thielen-to-the-vikings-draft-picks,2026-08-17
Andy Dalton,QB,Veteran backup and mentor,Traded for 2027 seventh-round pick,2026-03-24,Philadelphia Eagles,"Shifted QB2 role to Kenny Pickett and left Bryce Young as clear starter.",https://www.panthers.com/news/andy-dalton-trade-to-the-eagles-becomes-official-future-seventh-rounder,2026-08-17
A'Shawn Robinson,DT,Starting defensive tackle,Released,2026-03-10,,"Moved interior snaps toward Derrick Brown, Bobby Brown III, Tershawn Wharton, Cam Jackson, and rookie Lee Hunter.",https://www.panthers.com/news/panthers-release-defensive-tackle-a-shawn-robinson-free-agency,2026-08-17
Popo Aumavae,DT,Reserve defensive tackle,Waived,2026-03-10,,"Reduced defensive-line depth during March roster reset.",https://www.panthers.com/team/transactions/,2026-08-17
Will Grier,QB,Camp quarterback,Placed on reserve/retired list,2026-07-15,retired,"Reduced back-of-roster quarterback competition before Kyle Trask was later added.",https://www.panthers.com/team/transactions/,2026-08-17
Chris Brazzell II,WR,Third-round rookie wide receiver,Placed on injured reserve,2026-07-31,injured reserve,"Removed the rookie vertical receiver from the immediate receiver competition.",https://www.panthers.com/team/transactions/,2026-08-17
Nic Scourton,OLB,Young rotational edge with 2025 production,Placed on injured reserve,2026-07-24,injured reserve,"Raised reliance on Jaelan Phillips and veteran edge depth.",https://www.panthers.com/news/nic-scourton-placed-on-injured-reserve-among-other-moves-cam-gill,2026-08-17
LaBryan Ray,DE,Defensive-line depth,Placed on reserve/retired list,2026-08-04,retired,"Further thinned the defensive-line rotation after camp opened.",https://www.panthers.com/team/transactions/,2026-08-17
Saahdiq Charles,G,Interior offensive-line depth,Released with injury settlement,2026-08-06,,"Increased need for interior depth and led to Jake Curhan/Joshua Gray churn.",https://www.panthers.com/team/transactions/,2026-08-17
Nick Hampton,OLB,Outside linebacker depth,Waived with injury settlement,2026-08-17,,"Reduced edge depth after Jeremiah Moon and Darren Waller moves.",https://www.panthers.com/news/panthers-add-darren-waller-make-corresponding-roster-moves,2026-08-17
