coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-john-harbaugh,John Harbaugh,all,Head Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-chris-horton,Chris Horton,special_teams,Assistant Head Coach/Special Teams Coordinator,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-matt-nagy,Matt Nagy,offense,Offensive Coordinator,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-dennard-wilson,Dennard Wilson,defense,Defensive Coordinator,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-charlie-bullen,Charlie Bullen,defense,Run Game Coordinator/Outside Linebackers Coach,true,Outside Linebackers Coach and 2025 interim Defensive Coordinator,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-frank-bush,Frank Bush,defense,Inside Linebackers Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-donald-dalesio,Donald D'Alesio,defense,Defensive Pass Coordinator/Secondary Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-dennis-johnson,Dennis Johnson,defense,Defensive Line Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-addison-lynch,Addison Lynch,defense,Defensive Backs Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-matt-pees,Matt Pees,defense,Assistant Linebackers Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-megan-rosburg,Megan Rosburg,defense,Assistant to the Head Coach/Defensive Assistant,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-mike-bloomgren,Mike Bloomgren,offense,Offensive Line Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-brian-callahan,Brian Callahan,offense,Passing Game Coordinator/Quarterbacks Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-chad-hall,Chad Hall,offense,Wide Receivers Coach,true,Assistant Quarterbacks Coach,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-tim-kelly,Tim Kelly,offense,Tight Ends Coach,true,Tight Ends Coach and 2025 interim Offensive Coordinator,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-grant-newsome,Grant Newsome,offense,Assistant Offensive Line Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-greg-roman,Greg Roman,offense,Senior Offensive Assistant,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-willie-taggart,Willie Taggart,offense,Running Backs Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
local-coach-tj-weist,T.J. Weist,special_teams,Assistant Special Teams Coach,false,,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-dennard-wilson-chris-horton,2026-08-17
