candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
south-01,"Atlanta Falcons communications","Atlanta Falcons",organization,initial,"injuries; transactions; transcripts; press conferences; unofficial depth chart; practice notebooks",https://www.atlantafalcons.com/news/,https://www.atlantafalcons.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-atlanta-falcons,2026-08-17
south-02,"Will McFadden","Atlanta Falcons",person,initial,"unofficial depth chart; injury and PUP designations; transactions",https://www.atlantafalcons.com/team/news-roster/,https://www.atlantafalcons.com/team/news-roster/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-will-mcfadden,2026-08-17
south-03,"Kelsey Conway","Atlanta Falcons",person,initial,"roster moves; transactions; press-conference recaps; video",https://www.atlantafalcons.com/author/kelsey-conway,https://www.atlantafalcons.com/author/kelsey-conway,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-kelsey-conway,2026-08-17
south-04,"Tori McElhaney","Atlanta Falcons",person,initial,"feature depth; locker-room access; roster and scheme context",https://www.atlantafalcons.com/author/tori-mcelhaney,https://www.atlantafalcons.com/author/tori-mcelhaney,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-tori-mcelhaney,2026-08-17
south-05,"Josh Kendall","The Athletic",person,initial,"beat reporting; roster analysis; quarterback room; radio hits",https://x.com/JoshTheAthletic,https://x.com/JoshTheAthletic,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-josh-kendall,2026-08-17
south-06,"Daniel Flick","Atlanta Journal-Constitution",person,initial,"daily beat; camp intel; offensive line and right-tackle coverage",https://www.ajc.com/staff/daniel.flick/,https://www.ajc.com/staff/daniel.flick/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-daniel-flick,2026-08-17
south-07,"Marc Raimondi","ESPN",person,initial,"camp intel; position battles; roster cuts; quarterback room",https://www.espn.com/nfl/team/_/name/atl/atlanta-falcons,https://www.espn.com/nfl/team/_/name/atl/atlanta-falcons,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-marc-raimondi,2026-08-17
south-08,"Michael Rothstein","ESPN",person,omission_pass,"investigations; off-field and legal stories; occasional Falcons collaborations",https://x.com/mikerothstein,https://x.com/mikerothstein,include,supplemental,"Retained as a lower-cadence or cross-check source with explicit handling limits.",local-writer-michael-rothstein,2026-08-17
south-09,"D. Orlando Ledbetter","BowtieSports",person,omission_pass,"long institutional memory; historical and organizational context",https://bowtiesports.com/,https://bowtiesports.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-d-orlando-ledbetter,2026-08-17
south-10,"NFL communications","NFL",organization,omission_pass,"league transactions; suspensions; official announcements; gamebooks",https://www.nfl.com/news/,https://www.nfl.com/news/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl,2026-08-17
south-11,"The Falcoholic","SB Nation",organization,omission_pass,"daily camp notes; unofficial depth-chart breakdowns; position battles",https://www.thefalcoholic.com/,https://www.thefalcoholic.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-the-falcoholic,2026-08-17
south-12,"Blogging Dirty","FanSided",organization,omission_pass,"depth-chart takeaways; roster churn",https://bloggingdirty.com/,https://bloggingdirty.com/,include,supplemental,"Retained as a lower-cadence or cross-check source with explicit handling limits.",local-source-blogging-dirty,2026-08-17
south-13,"Pro Football Reference","Sports Reference",organization,omission_pass,"historical stats; rosters; snap counts; game logs",https://www.pro-football-reference.com/teams/atl/2026.htm,https://www.pro-football-reference.com/teams/atl/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-17
south-14,"Pro Football Focus","PFF",organization,omission_pass,"player grades; alignment, route and pressure data; depth-chart projections",https://www.pff.com/nfl/teams/atlanta-falcons,https://www.pff.com/nfl/teams/atlanta-falcons,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pff,2026-08-17
south-15,"Over the Cap","Over the Cap",organization,omission_pass,"contract structure; cap charges; dead money",https://overthecap.com/team/atlanta-falcons,https://overthecap.com/team/atlanta-falcons,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-17
south-16,"Spotrac","Spotrac",organization,omission_pass,"contracts; cap hits; transaction log",https://www.spotrac.com/nfl/atlanta-falcons/,https://www.spotrac.com/nfl/atlanta-falcons/,include,supplemental,"Retained as a lower-cadence or cross-check source with explicit handling limits.",local-source-spotrac,2026-08-17
