candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
north-01,"Green Bay Packers communications","Green Bay Packers",organization,initial,"roster; injuries; transactions; conferences",https://www.packers.com/news/,https://www.packers.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-green-bay-packers,2026-08-21
north-02,"NFL gamebooks and participation","NFL",organization,initial,"participation; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-21
north-03,"Rob Demovsky","ESPN NFL Nation",person,initial,"daily beat; injuries; roster; organization",https://espnpressroom.com/bio/rob-demovsky/,https://espnpressroom.com/bio/rob-demovsky/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-rob-demovsky,2026-08-21
north-04,"Matt Schneidman","The Athletic",person,initial,"camp; roles; roster; organization",https://www.nytimes.com/athletic/author/matt-schneidman/,https://www.nytimes.com/athletic/author/matt-schneidman/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-matt-schneidman,2026-08-21
north-05,"Tom Silverstein","Milwaukee Journal Sentinel",person,initial,"beat; organization; contracts; history",https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-tom-silverstein,2026-08-21
north-06,"Ryan Wood","PackersNews",person,initial,"camp; roles; injuries; roster",https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-ryan-wood,2026-08-21
north-07,"Pete Dougherty","PackersNews",person,omission_pass,"organization; line play; long-term context",https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-pete-dougherty,2026-08-21
north-08,"Dominique Yates","Milwaukee Journal Sentinel / PackersNews",person,omission_pass,"camp interviews; roster discussion; local podcast",https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,https://podcasts.apple.com/us/podcast/packers-podcast/id518355845,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dominique-yates,2026-08-21
north-09,"Bill Huber","Independent / SI",person,omission_pass,"camp; roster; organization; draft",https://www.si.com/nfl/packers/,https://www.si.com/nfl/packers/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-bill-huber,2026-08-21
north-10,"Andy Herman","Pack-A-Day",person,omission_pass,"film; camp; roster; role battles",https://www.packernet.com/,https://www.packernet.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-andy-herman,2026-08-21
north-11,"Justis Mosqueda","Acme Packing Company",person,omission_pass,"scheme; analytics; roster; camp synthesis",https://www.acmepackingcompany.com/authors/justis-mosqueda,https://www.acmepackingcompany.com/authors/justis-mosqueda,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-justis-mosqueda,2026-08-21
north-12,"Dusty Evely","Acme Packing Company",person,omission_pass,"defensive film; scheme; player deployment",https://www.acmepackingcompany.com/archives/analysis/2025/10/1,https://www.acmepackingcompany.com/archives/analysis/2025/10/1,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dusty-evely,2026-08-21
north-13,"Ross Uglem","Pack-A-Day / Packer Report",person,omission_pass,"camp observations; roster; draft; scheme",https://www.packernet.com/,https://www.packernet.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-ross-uglem,2026-08-21
north-14,"Aaron Nagler","Cheesehead TV",person,omission_pass,"camp observations; interviews; local context",https://cheeseheadtv.com/,https://cheeseheadtv.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-aaron-nagler,2026-08-21
north-15,"Mike Spofford","Green Bay Packers",person,omission_pass,"official news; interviews; camp",https://www.packers.com/audio/packers-unscripted,https://www.packers.com/audio/packers-unscripted,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-mike-spofford,2026-08-21
north-16,"Wes Hodkiewicz","Green Bay Packers",person,omission_pass,"camp; roster; interviews",https://www.packers.com/audio/packers-unscripted,https://www.packers.com/audio/packers-unscripted,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-wes-hodkiewicz,2026-08-21
north-17,"Larry McCarren","Packers Radio Network",person,omission_pass,"offensive line; film; interviews; team context",https://www.packers.com/video/radio-network,https://www.packers.com/video/radio-network,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-larry-mccarren,2026-08-21
north-18,"Over the Cap","Over the Cap",organization,omission_pass,"contracts; cap",https://overthecap.com/team/green-bay-packers,https://overthecap.com/team/green-bay-packers,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-21
north-19,"Pro Football Reference","Sports Reference",organization,omission_pass,"logs; snaps",https://www.pro-football-reference.com/teams/gnb/2026.htm,https://www.pro-football-reference.com/teams/gnb/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-21
