player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Brandon Frazier,TE,Auburn,2026-05-07,active,2026-08-17,tight-end depth competition,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Jack Strand,QB,Minnesota State-Moorehead,2026-05-07,active,2026-08-17,received camp 11-on-11 work while Tua Tagovailoa and Michael Penix Jr. were limited,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Kam Dewberry,OG,Alabama,2026-05-07,active,2026-08-17,interior offensive-line depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
James Brockermeyer,C,Miami,2026-05-07,active,2026-08-17,center depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Riley Mahlman,OT,Wisconsin,2026-05-07,active,2026-08-17,tackle depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Le'Meke Brockington,WR,Minnesota,2026-05-07,waived_injured,2026-08-06,waived/injured when Atlanta signed TE Nick Muse,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Vinny Anthony II,WR,Wisconsin,2026-05-07,active,2026-08-17,receiver and return-depth competition,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Carlos Allen Jr.,DT,Houston,2026-05-07,active,2026-08-17,defensive-line depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Malcolm DeWalt IV,CB,Akron,2026-05-07,active,2026-08-17,cornerback depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Jack Velling,TE,Michigan State,2026-05-07,active,2026-08-17,tight-end depth competition,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
CJ Nunnally IV,DE,Purdue,2026-05-07,active,2026-08-17,edge depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Philip Florenzo,LS,Clemson,2026-05-07,active,2026-08-17,long-snapper competition/depth,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Cash Jones,RB,Georgia,2026-05-07,active,2026-08-17,third-running-back competition with Tyler Goodson and Nathan Carter,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
Keelan Marion,WR,Miami,2026-05-07,active,2026-08-17,receiver and return-depth competition,https://www.atlantafalcons.com/news/agree-to-terms-14-undrafted-free-agents,2026-08-17
