candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
east-01,"Washington Commanders communications","Washington Commanders",organization,initial,"roster; injuries; transactions; press conferences; camp notebooks",https://www.commanders.com/news/,https://www.commanders.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-washington-commanders,2026-08-21
east-02,"NFL gamebooks and participation records","NFL",organization,initial,"participation; starters; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-21
east-03,"John Keim","ESPN NFL Nation",person,initial,"daily beat; injuries; organization; podcast",https://espnpressroom.com/us/bios/john-keim/,https://espnpressroom.com/us/bios/john-keim/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-john-keim,2026-08-21
east-04,"Tashan Reed","The Washington Post",person,initial,"camp observations; roster; scheme; organization",https://www.washingtonpost.com/people/tashan-reed/,https://www.washingtonpost.com/people/tashan-reed/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-tashan-reed,2026-08-21
east-05,"Nicki Jhabvala","The Athletic",person,initial,"practice; roster; organization; role analysis",https://www.nytimes.com/athletic/author/nicki-jhabvala/,https://www.nytimes.com/athletic/author/nicki-jhabvala/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-nicki-jhabvala,2026-08-21
east-06,"JP Finlay","NBC4 Washington / 106.7 The Fan",person,omission_pass,"breaking news; camp; interviews; local radio",https://www.nbcwashington.com/author/jp-finlay-nbc4-sports-reporter/,https://www.nbcwashington.com/author/jp-finlay-nbc4-sports-reporter/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jp-finlay,2026-08-21
east-07,"Ben Standig","Last Man Standig",person,initial,"daily camp; roster; transactions; organization; podcast",https://lastmanstandig.substack.com/,https://lastmanstandig.substack.com/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-ben-standig,2026-08-21
east-08,"Mark Bullock","Independent",person,omission_pass,"All-22; scheme; quarterback and line play",https://markbullock.substack.com/,https://markbullock.substack.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-mark-bullock,2026-08-21
east-09,"Logan Paulsen","Washington Commanders / Last Man Standig",person,omission_pass,"film; scheme; personnel roles; offensive line and tight ends",https://www.commanders.com/video/life-in-the-nfl-film-room,https://www.commanders.com/video/life-in-the-nfl-film-room,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-logan-paulsen,2026-08-21
east-10,"Zach Selby","Washington Commanders",person,omission_pass,"camp notebooks; interviews; roster context",https://www.commanders.com/team/front-office-roster/zach-selby,https://www.commanders.com/team/front-office-roster/zach-selby,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-zach-selby,2026-08-21
east-11,"Over the Cap","Over the Cap",organization,omission_pass,"contracts; cap; roster mechanics",https://overthecap.com/team/washington-commanders,https://overthecap.com/team/washington-commanders,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-21
east-12,"Pro Football Reference","Sports Reference",organization,omission_pass,"game logs; snap counts; history",https://www.pro-football-reference.com/teams/was/2026.htm,https://www.pro-football-reference.com/teams/was/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-21
