round,overall_pick,player,position,college,position_group,immediate_monitoring_question,source_url,last_verified
1,21,Max Iheanachor,OT,Arizona State,offense,does Iheanachor push for a starting tackle job or develop as a swing lineman,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
2,47,Germie Bernard,WR,Alabama,offense,can Bernard earn rotational receiver snaps behind Metcalf and Pittman as a rookie,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
3,76,Drew Allar,QB,Penn State,offense,developmental quarterback behind Rodgers; the potential post-2026 succession piece,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
3,85,Daylen Everette,CB,Georgia,defense,does Everette compete for outside or slot corner snaps,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
3,96,Gennings Dunker,OG,Iowa,offense,interior line competition after Isaac Seumalo's departure,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
4,121,Kaden Wetjen,WR,Iowa,offense,depth and special-teams receiver competition,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
5,169,Riley Nowakowski,TE,Indiana,offense,blocking/H-back tight end competition behind Freiermuth,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
6,210,Gabriel Rubio,DE,Notre Dame,defense,interior/edge defensive-line rotation depth,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
7,224,Robert Spears-Jennings,S,Oklahoma,defense,safety depth and special-teams competition,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
7,230,Eli Heidenreich,RB,Navy,offense,backfield and special-teams depth,https://en.wikipedia.org/wiki/2026_Pittsburgh_Steelers_season,2026-08-13
