ledger_id,review_date,team_id,synthesis_record_id,observation_ids,routing_level,signal_type,entity_or_unit,evidence_effect,target_ids,target_path,disposition,next_review_trigger,status,resolved_date,resolution_synthesis_id,supersedes_ledger_id,notes
til-2026-ne-20260825-001,2026-08-25,NE,ti-2026-ne-20260825-001,obs-2026-ne-20260826t011902z-001,escalate,transaction,Kayshon Boutte,challenges,ne-2026-off-q03,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,promoted,"Week 1 routes and target distribution among Brown, Doubs, Douglas, and Henry",resolved,2026-08-25,ti-2026-ne-20260825-001,,Resolved the Boutte-stays hypothesis against the baseline after the official trade.
til-2026-ne-20260906-001,2026-09-06,NE,ti-2026-ne-20260906-001,obs-2026-ne-20260906t193157z-001;obs-2026-ne-20260906t193157z-002,review,availability,Week 1 personnel,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Official Henderson participation and final designation before the September 9 opener.,resolved,2026-09-06,ti-2026-ne-20260906-001,,Promoted the dated personnel state and bounded contingency; no measured workload or numerical ranking change. Prepare a Stevenson-heavy contingency if Henderson cannot play; no automatic workload upgrade while status remains unresolved.
til-2026-ne-20260906-002,2026-09-06,NE,ti-2026-ne-20260906-002,obs-2026-ne-20260906t210715z-001,review,availability,Week 1 readiness supplemental,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Official Henderson participation and final designation; then actual passing-down allocation.,resolved,2026-09-06,ti-2026-ne-20260906-002,,Linked supplemental intake and explicit next checks; no numerical projection change.
til-2026-ne-20260909-001,2026-09-09,NE,ti-2026-ne-20260909-001,obs-2026-ne-20260909t210706z-001;obs-2026-ne-20260909t210706z-004;obs-2026-ne-20260909t210706z-007;obs-2026-ne-20260909t210706z-009,escalate,availability,TreVeyon Henderson,contextual,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Postgame Week 1 Stevenson and Kiner carries routes two-minute and goal-line usage; Henderson Week 2 practice participation.,resolved,2026-09-09,ti-2026-ne-20260909-001,,"Official OUT designation (DNP Sun-Tue) closes the September 6 Henderson next-check. Promoted the designation, Ben Brown OUT with the starting five reported intact, Barmore no designation, and the reported Stevenson-Kiner-Larison depth order into the weekly record. No numerical projection change."
til-2026-ne-20260909-002,2026-09-09,NE,ti-2026-ne-20260909-001,obs-2026-ne-20260909t210706z-007;obs-2026-ne-20260909t210706z-009;obs-2026-ne-20260909t210706z-010;obs-2026-ne-20260909t210706z-011,review,role,Week 1 backfield sample,contextual,ne-2026-off-q06;ne-2026-off-q07,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,deferred,"Official Week 1 RB totals then Stevenson/Kiner/Larison routes, protection, two-minute and inside-5 shares; Henderson Week 2 practice. Henderson-absent Week 1 cannot test the healthy timeshare or count toward q07's first-two-games trigger.",superseded,2026-09-10,ti-2026-ne-20260910-001,,Two interpretive origins (team-site analysis and Kyed) describe a depth order forced by Henderson's absence; Callahan's pass-protection view is columnist analysis. Below the bar for changing q06 or q07. SUPERSEDED 2026-09-10: the Week 1 trigger partially occurred. The measurement half is closed by the reconciled official gamebook; the healthy-timeshare half was never testable because Henderson was inactive. Split into a resolved measurement row and a still-open Henderson row rather than left ambiguous.
til-2026-ne-20260909-003,2026-09-09,NE,ti-2026-ne-20260909-001,obs-2026-ne-20260909t210706z-007;obs-2026-ne-20260909t210706z-009;obs-2026-ne-20260909t210706z-011,review,role,Backfield timeshare finding,contextual,rf-2026-ne-backfield-timeshare-001,teams/AFC/East/New-England-Patriots/2026/offense/backfield-timeshare.md,deferred,"Chart Stevenson/Kiner/Larison absolute route, protection, two-minute and inside-5 involvement after the official book; the healthy Stevenson-Henderson timeshare remains untestable until Henderson returns.",superseded,2026-09-10,ti-2026-ne-20260910-001,,Finding's stated next review (Week 1 usage charting) will be a Henderson-absent sample. Retain the finding unchanged. SUPERSEDED 2026-09-10: the Week 1 trigger partially occurred. The measurement half is closed by the reconciled official gamebook; the healthy-timeshare half was never testable because Henderson was inactive. Split into a resolved measurement row and a still-open Henderson row rather than left ambiguous.
til-2026-ne-20260910-001,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-009;obs-2026-ne-20260910t222845z-010;obs-2026-ne-20260910t222845z-101,escalate,injury,A.J. Brown,challenges,wm-2026-w01-ne-sea-001,weekly/2026/week-01/games/NE-at-SEA.md,promoted,Vrabel's promised update in the week of 2026-09-14 and the first official Week 2 injury report; any roster move.,resolved,2026-09-10,ti-2026-ne-20260910-001,,"Official play-by-play records Brown injured on a third-and-4 incompletion at Q3 13:30, Questionable at 12:41, Out to start Q4, on 31 of 71 snaps. Vrabel on 9/10: further testing, update next week, does not know Week 2 availability. ESCALATED on the official record plus an immediate Week 2 lineup consequence. The high-ankle-sprain DIAGNOSIS IS NOT PROMOTED AS FACT: it originates with NFL Network (Rapoport/Garafolo), is unregistered, was relayed without independent sourcing by Kyed and Perry under an unbylined ESPN 'Multiple Authors' story, and Vrabel declined to confirm it when asked directly. Circulating 3-to-6 and 2-to-6 week figures are general expectations for the injury class, NOT reported timelines for this player, and are excluded. Hypothesis impact on ne-2026-off-q01 is carried by til-2026-ne-20260910-005, which points at hypotheses.csv."
til-2026-ne-20260910-002,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-001;obs-2026-ne-20260910t222845z-002;obs-2026-ne-20260910t222845z-003;obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-013,review,usage,Week 1 backfield measurement,contextual,ne-2026-off-q06,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,promoted,None. This row records a completed measurement and is closed.,resolved,2026-09-10,ti-2026-ne-20260910-001,til-2026-ne-20260909-002,"MEASUREMENT HALF CLOSED. Stevenson 60/71 snaps (85%), 18 of 31 carries, 6 of 31 targets, on the field for all 11 two-minute snaps. Kiner 8 snaps, 6 carries all on first or second down, 0 targets, 0 two-minute snaps. Larison 3 snaps, 0 carries, 2 targets. Promoted into usage-input.csv (27 measured rows), the matchup record and ne-2026-off-q06. Denominators reconciled: 71 snaps = 67 statistical plays + 4 live-ball-negated snaps; targets measured on 31, not 33 attempts. GOAL-LINE NOT RESOLVED: exactly one inside-5 snap existed all game. Measured rows live in weekly/2026/week-01/usage-input.csv; the finding record rf-2026-ne-backfield-timeshare-001 is carried by til-2026-ne-20260910-004."
til-2026-ne-20260910-003,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-012,review,role,Healthy Stevenson-Henderson timeshare,contextual,ne-2026-off-q06;ne-2026-off-q07,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,deferred,"Henderson's return to play, then the first two games in which both backs are available. Week 1 does not count toward the two-game trigger on either question.",open,,,til-2026-ne-20260909-002,"STILL UNTESTABLE. Henderson was an official Week 1 inactive, so nothing measured this week bears on the healthy split. Stevenson's 85% share and two-minute role were earned in his absence. No registered source established Henderson's Week 2 practice expectation as of 2026-09-10; that is a real coverage gap, not evidence of a setback."
til-2026-ne-20260910-004,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-001;obs-2026-ne-20260910t222845z-002,review,role,Backfield timeshare finding,contextual,rf-2026-ne-backfield-timeshare-001,teams/AFC/East/New-England-Patriots/2026/offense/backfield-timeshare.md,deferred,"Henderson's return. TRIGGER REWRITTEN: the prior trigger required route and protection charting, which NO registered source supplies. Replaced with obtainable evidence: snap share, carry share, target share, two-minute participation and inside-5 opportunity from the official gamebook.",open,,,til-2026-ne-20260909-003,"Finding updated with measured Week 1 usage but its central claim, that the split is live and unresolved, is untouched because Henderson did not play. REGISTRY GAP RECORDED: routes-versus-protection cannot be measured from any registered source, so a trigger naming it can never fire. See the pilot audit in weekly/2026/week-01/usage-tracking.md."
til-2026-ne-20260910-005,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-006;obs-2026-ne-20260910t222845z-009;obs-2026-ne-20260910t222845z-106,review,role,Brown alpha WR1 and target distribution,contextual,ne-2026-off-q01;ne-2026-off-q02,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,deferred,"Brown's Week 2 availability, then the first two games he plays in full. Week 1 does not count toward q01's two-game trigger.",open,,,,"PARTIAL SUPPORT, NOT UNTESTABLE. Restricted to the 31 snaps Brown played, he led the team with 4 targets to Douglas's 3, about a 31% share of the 13 targets in that window, and led receptions and yards at his exit. His full-game fourth-place target finish is an ARTEFACT of missing the final 24 minutes and must never be cited against q01 without that caveat. ARCHITECT overturned the synthesizer's 'untestable' framing on this evidence."
til-2026-ne-20260910-006,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-104;obs-2026-ne-20260910t222845z-105;obs-2026-ne-20260910t222845z-006,review,usage,Romeo Doubs,challenges,ne-2026-off-q04,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,deferred,"Week 2 snap share and receptions, assessed jointly with Brown's availability.",open,,,,"Confidence lowered medium to low. 40 of 71 snaps (56%), third among receivers behind Hollins (50) and Douglas (44), 3 targets and ZERO receptions. COMPETING EXPLANATION RETAINED, NOT RESOLVED: Kyed reports Hollins was used heavily on first-half run plays, suppressing Doubs and Douglas snaps for a reason unrelated to standing. NOT recorded as a demotion. This is the row most likely to be misread: Week 1 measurement and Week 2 opportunity from Brown's injury point in OPPOSITE directions."
til-2026-ne-20260910-007,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-007,review,performance,Drake Maye,challenges,ne-2026-off-q08,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,deferred,Weeks 2 through 4 turnover rate and pressure-adjusted efficiency.,open,,,,"Confidence lowered medium to low. 23 of 33 for 178 gross, 1 TD, 3 INT, 54.9 rating, plus 7 carries for 47 yards. New England out-gained Seattle and held the ball 34:17 and lost; the game ended on an interception at the SEA 16 with 26 seconds left. One game is not a trend, but turnovers are the specific mechanism that decided this game and are the thing to watch."
til-2026-ne-20260910-008,2026-09-10,NE,ti-2026-ne-20260910-001,obs-2026-ne-20260910t222845z-108;obs-2026-ne-20260910t222845z-109,review,performance,Offensive line,contextual,ne-2026-off-q09,teams/AFC/East/New-England-Patriots/2026/offense/hypotheses.csv,deferred,Week 2 protection charting; the two-game trigger completes then.,open,,,,"3 sacks allowed for 10 yards. Lazar charts a 38.1% pressure rate with 4 hurries to Vera-Tucker; Kyed INDEPENDENTLY names Vera-Tucker the weak link. GENUINE CORROBORATION: two organizationally independent origins, which matters because Lazar is team-employed and carries 3 of 9 beat rows. Separately, Lazar's own pressure figure moved 28.6% to 38.1% between his same-night and film-review pieces; that IS a real revision on the same base and is the only source-reliability signal in the batch. His 57-of-67 and 60-of-71 snap figures are NOT a revision, they are two correct denominators."
