player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Ja'Tyre Carter,G,Reserve/future contract,2026-01-12,active_camp_competition,Interior offensive-line depth,https://www.panthers.com/team/transactions/,2026-08-17
Saahdiq Charles,G,Reserve/future contract,2026-01-12,released_injury_settlement_2026-08-06,Historical interior-line addition,https://www.panthers.com/team/transactions/,2026-08-17
Dan Chisena,WR,Reserve/future contract,2026-01-12,injured_reserve_2026-07-29,Historical receiver and special-teams addition,https://www.panthers.com/team/transactions/,2026-08-17
Anthony Tyus,RB,Reserve/future contract,2026-01-12,active_camp_competition,Running-back depth and preseason workload,https://www.panthers.com/team/transactions/,2026-08-17
Kenny Pickett,QB,Free agent agreement,2026-03-11,active,Backup quarterback behind Bryce Young,https://www.panthers.com/team/transactions/,2026-08-17
Jaelan Phillips,OLB,Free agent agreement,2026-03-11,active,Lead pass-rush addition,https://www.panthers.com/news/league-year-opens-panthers-agree-to-terms-with-five-jaelan-phillips-devin-lloyd-kenny-pickett,2026-08-17
Devin Lloyd,LB,Free agent agreement,2026-03-11,active,Middle linebacker and green-dot candidate,https://www.panthers.com/news/league-year-opens-panthers-agree-to-terms-with-five-jaelan-phillips-devin-lloyd-kenny-pickett,2026-08-17
Luke Fortner,C,Free agent agreement,2026-03-11,active,Starting center competition with Sam Hecht,https://www.panthers.com/news/league-year-opens-panthers-agree-to-terms-with-five-jaelan-phillips-devin-lloyd-kenny-pickett,2026-08-17
Stone Forsythe,OT,Free agent agreement,2026-03-11,active,Offensive-tackle depth,https://www.panthers.com/news/league-year-opens-panthers-agree-to-terms-with-five-jaelan-phillips-devin-lloyd-kenny-pickett,2026-08-17
John Metchie III,WR,Free agent agreement,2026-03-11,active,Receiver competition with reported Bryce Young chemistry,https://www.panthers.com/team/transactions/,2026-08-17
Akayleb Evans,CB,Signed,2026-03-11,active,Cornerback depth and special-teams competition,https://www.panthers.com/team/transactions/,2026-08-17
Rasheed Walker,OT,Signed,2026-03-14,active,Tackle depth and injury insurance,https://www.panthers.com/team/transactions/,2026-08-17
Nick Scott,S,Free agent agreement,2026-03-14,active,Starting safety candidate and communication role,https://www.panthers.com/team/transactions/,2026-08-17
Trevis Gipson,OLB,Signed,2026-03-16,active,Edge rotation,https://www.panthers.com/team/transactions/,2026-08-17
James Mitchell,TE,Signed,2026-03-16,active,Tight-end depth before Darren Waller addition,https://www.panthers.com/team/transactions/,2026-08-17
AJ Dillon,RB,Free agent agreement,2026-03-18,active,Power-back roster competition behind Chuba Hubbard,https://www.panthers.com/team/transactions/,2026-08-17
Sam Martin,P,Free agent agreement,2026-03-16,active,Punter,https://www.panthers.com/team/transactions/,2026-08-17
Brady Christensen,OL,Signed,2026-07-17,active,Versatile offensive-line depth after Achilles recovery,https://www.panthers.com/team/transactions/,2026-08-17
Darren Waller,TE,Signed to active roster,2026-08-17,active,Veteran receiving tight end and red-zone competition,https://www.panthers.com/news/panthers-add-darren-waller-make-corresponding-roster-moves,2026-08-17
Kyle Trask,QB,Signed,2026-08-09,active,Additional quarterback depth,https://www.panthers.com/team/transactions/,2026-08-17
Jeremiah Moon,OLB,Signed,2026-08-09,active,Edge depth after injuries,https://www.panthers.com/team/transactions/,2026-08-17
