coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-sean-payton,Sean Payton,all,Head Coach,true,Head Coach,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-davis-webb,Davis Webb,offense,Offensive Coordinator,true,Offensive Pass Game Coordinator/Quarterbacks,https://www.denverbroncos.com/news/head-coach-sean-payton-names-davis-webb-as-offensive-coordinator-and-logan-kilgore-as-quarterbacks-coach,2026-08-17
local-coach-zach-strief,Zach Strief,offense,Offensive Run Game Coordinator/Assistant Head Coach,true,Offensive Line,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-john-morton,John Morton,offense,Offensive Pass Game Coordinator,true,Senior Offensive Assistant,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-chris-morgan,Chris Morgan,offense,Offensive Line,false,,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-lou-ayeni,Lou Ayeni,offense,Running Backs,true,Running Backs,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-ronald-curry,Ronald Curry,offense,Wide Receivers,false,,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-austin-king,Austin King,offense,Tight Ends,true,Tight Ends,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-logan-kilgore,Logan Kilgore,offense,Quarterbacks,true,Offensive Quality Control,https://www.denverbroncos.com/news/head-coach-sean-payton-names-davis-webb-as-offensive-coordinator-and-logan-kilgore-as-quarterbacks-coach,2026-08-17
local-coach-vance-joseph,Vance Joseph,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-robert-livingston,Robert Livingston,defense,Defensive Pass Game Coordinator,true,Defensive Pass Game Coordinator,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-jamar-cain,Jamar Cain,defense,Defensive Line,true,Defensive Line,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-doug-belk,Doug Belk,defense,Defensive Backs,true,Defensive Backs,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-jeff-schmedding,Jeff Schmedding,defense,Inside Linebackers,true,Inside Linebackers,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-isaac-shewmaker,Isaac Shewmaker,defense,Outside Linebackers,true,Outside Linebackers,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
local-coach-darren-rizzi,Darren Rizzi,special_teams,Special Teams Coordinator/Assistant Head Coach,true,Special Teams Coordinator/Assistant Head Coach,https://www.denverbroncos.com/news/broncos-announce-updates-to-2026-coaching-staff,2026-08-17
