coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-ben-johnson,Ben Johnson,all,Head Coach,true,Head Coach,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-press-taylor,Press Taylor,offense,Offensive Coordinator,true,Pass Game Coordinator,https://www.chicagobears.com/news/chicago-bears-announce-coaching-staff-promotion-and-additions,2026-08-17
local-coach-antwaan-randle-el,Antwaan Randle El,offense,Assistant Head Coach / Wide Receivers,true,Assistant Head Coach / Wide Receivers,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-jt-barrett,J.T. Barrett,offense,Quarterbacks,true,Quarterbacks,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-eric-studesville,Eric Studesville,offense,Running Backs,false,,https://www.chicagobears.com/news/chicago-bears-announce-coaching-staff-promotion-and-additions,2026-08-17
local-coach-jim-dray,Jim Dray,offense,Tight Ends,true,Tight Ends,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-dan-roushar,Dan Roushar,offense,Offensive Line,true,Offensive Line,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-kyle-devan,Kyle DeVan,offense,Assistant Offensive Line,true,Assistant Offensive Line,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-robbie-picazo,Robbie Picazo,offense,Offensive Assistant - quarterbacks and tight ends,true,Offensive Assistant - quarterbacks and tight ends,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-will-lawing,Will Lawing,offense,Offensive Analyst,false,,https://www.chicagobears.com/news/chicago-bears-announce-coaching-staff-promotion-and-additions,2026-08-17
local-coach-matt-aponte,Matt Aponte,offense,Offensive Quality Control,true,Offensive Quality Control,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-isaiah-ford,Isaiah Ford,offense,Offensive Quality Control,false,,https://www.chicagobears.com/news/chicago-bears-announce-coaching-staff-promotion-and-additions,2026-08-17
local-coach-dennis-allen,Dennis Allen,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-jeremy-garrett,Jeremy Garrett,defense,Defensive Line,true,Defensive Line,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-richard-smith,Richard Smith,defense,Linebackers,true,Linebackers,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-al-harris,Al Harris,defense,Defensive Backs / Passing Game Coordinator,true,Defensive Backs / Passing Game Coordinator,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-matt-giordano,Matt Giordano,defense,Assistant Defensive Backs / Safeties,true,Assistant Defensive Backs / Safeties,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-bill-johnson,Bill Johnson,defense,Senior Defensive Assistant,true,Senior Defensive Assistant,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-cannon-matthews,Cannon Matthews,defense,Defensive Assistant / Nickels,true,Defensive Assistant / Nickels,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-zach-cable,Zach Cable,defense,Defensive Quality Control,true,Defensive Quality Control,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-kevin-koch,Kevin Koch,defense,Assistant Linebackers,true,Assistant Linebackers,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-kenny-norton-iii,Kenny Norton III,defense,Defensive Quality Control,true,Defensive Quality Control,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-richard-hightower,Richard Hightower,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.chicagobears.com/team/coaches/,2026-08-17
local-coach-anthony-blevins,Anthony Blevins,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.chicagobears.com/team/coaches/,2026-08-17
