signal_id,team_id,player_ids,observation_ids,synthesis_record_id,escalation_level,signal_type,summary,fantasy_implication,next_action,confidence,status,created_at,last_updated
sig-2026-det-20260829-001,DET,,"obs-2026-det-20260829t143349z-001;obs-2026-det-20260829t143349z-002",ti-2026-det-20260829-001,escalate,availability,"Isiah Pacheco has a sprained MCL plus a back injury and no definitive return date.","The uncertainty raises Jahmyr Gibbs workload expectations and weakens Pacheco draft and lineup value pending Week 1 status.","Obtain the Week 1 practice report and final backfield roster before rankings lock.",high,resolved,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-sf-20260829-001,SF,local-player-george-kittle-2017,obs-2026-sf-20260829t143349z-002,ti-2026-sf-20260829-001,escalate,availability,"Kittle was described as taking a step back and still required a Week 1 readiness evaluation before Australia.","Kittle carries immediate Week 1 availability and route-rate risk.","Monitor every pre-travel practice and official Week 1 status; adjust rankings and lineup contingencies if competitive first-team work does not occur.",high,resolved,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-mia-20260829-001,MIA,,obs-2026-mia-20260829t143349z-001,ti-2026-mia-20260829-001,review,transaction,"Miami traded Tutu Atwell to the Rams for running back Jarquez Hunter.","Atwell exits an unsettled receiver competition while Hunter adds unresolved backfield depth behind De'Von Achane.","Confirm final-roster placement; update the receiver personnel baseline and chart Hunter's practice and Week 1 role.",high,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-cle-20260829-001,CLE,,obs-2026-cle-20260829t143349z-001,ti-2026-cle-20260829-001,review,transaction,"Cleveland waived wide receiver Cedric Tillman.","Tillman's exit changes the receiver-room baseline but does not identify who inherits routes.","Reconcile the final 53-man receiver room after waiver claims, then update the receiver baseline.",high,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-ten-20260829-001,TEN,,"obs-2026-ten-20260829t143349z-001;obs-2026-ten-20260829t143349z-002;obs-2026-ten-20260829t143349z-003",ti-2026-ten-20260829-001,review,usage,"Open-practice reception totals favored Wan'Dale Robinson and Tyjae Spears while Calvin Ridley's total was much lower.","The counts support Robinson's and Spears' receiving paths and challenge an unquestioned Ridley target-leader assumption but lack route and attendance denominators.","Reconcile attendance and first-team context; chart Week 1 routes targets first reads and passing-down snaps.",medium,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-nyg-20260829-001,NYG,,obs-2026-nyg-20260829t143349z-002,ti-2026-nyg-20260829-001,review,depth_chart,"Dominic Zvada won the Giants kicker job after making three finale field goals including a 53-yarder.","Zvada is the working Week 1 kicker and a newly defined streaming option.","Update the team special-teams baseline and verify final-roster status.",high,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-atl-20260829-001,ATL,local-player-bijan-robinson-2023,"obs-2026-atl-20260829t143349z-001;obs-2026-atl-20260829t143349z-002",ti-2026-atl-20260829-001,review,scheme,"Atlanta installed additional running-back screen variations and may expand gap and power usage.","Directional support for Bijan Robinson's designed-touch breadth but no usage rate or backfield allocation is established.","Chart Week 1 personnel run concepts screens routes and high-leverage backfield usage before changing the baseline.",medium,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-car-20260829-001,CAR,,obs-2026-car-20260829t143349z-002,ti-2026-car-20260829-001,review,availability,"Dave Canales expected Xavier Legette to return to practice the following week after treatment for a foot issue.","Legette has a short-term participation checkpoint that could affect the receiver hierarchy.","Check the first Week 1 practice participation and route status before adjusting the receiver baseline.",medium,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-no-20260829-001,NO,,obs-2026-no-20260829t143349z-002,ti-2026-no-20260829-001,review,role,"Zamir White joined an already unsettled Saints backfield.","Another workload claimant increases uncertainty behind the Etienne and Kamara assumptions but no role evidence exists.","Verify final roster status and chart first-team early-down route two-minute and goal-line usage.",medium,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
sig-2026-sf-20260829-002,SF,,obs-2026-sf-20260829t143349z-001,ti-2026-sf-20260829-001,review,depth_chart,"Carver Willis is pushing for the starting left guard job and the competition remained undecided.","Interior-line uncertainty can affect Week 1 protection and run efficiency.","Check the opening lineup and protection assignments before updating the offensive-line baseline.",high,open,2026-08-29T14:44:32Z,2026-08-29T14:44:32Z
