player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Dylan Barrett,G,Iowa State,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
Josh Gesky,G,Illinois,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
Nyjalik Kelly,EDGE,UCF,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
Murvin Kenion,S,Nevada,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
Jaden Nixon,RB,UCF,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
TJ Quinn,LB,Louisville,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
J. Michael Sturdivant,WR,Florida,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
Dillon Wade,G,Auburn,2026-05-01,on roster,2026-08-05,"Officially signed with the rookie group after the draft and remained on the active roster page as of verification.",https://www.packers.com/team/transactions/,2026-08-17
Kyron Drones,QB,Virginia Tech,2026-05-01,released,2026-08-15,"Officially signed after the draft, then released on Aug. 15.",https://www.packers.com/team/transactions/,2026-08-17
RJ Maryland,TE,SMU,2026-05-01,waived_injured,2026-08-04,"Officially signed after the draft, then waived/injured on Aug. 4.",https://www.packers.com/team/transactions/,2026-08-17
