source_id,endpoint_type,url,access,automation_suitability,notes,last_verified
local-source-seattle-seahawks,official_news,https://www.seahawks.com/news/,free,metadata_and_summary,"Official news.",2026-08-21
local-source-nfl-gamebooks,official_data,https://www.nfl.com/scores/,free,manual_only,"Official gamebooks.",2026-08-21
local-writer-brady-henderson,article_author,https://www.espn.com/nfl/team/_/name/sea/seattle-seahawks,free,metadata_and_summary,"ESPN hub.",2026-08-21
local-writer-michael-shawn-dugar,article_author,https://www.nytimes.com/athletic/author/michael-shawn-dugar/,paywall,manual_only,"Athletic archive.",2026-08-21
local-writer-bob-condotta,article_author,https://www.seattletimes.com/author/bob-condotta/,paywall,manual_only,"Seattle Times archive.",2026-08-21
local-writer-gregg-bell,article_author,https://www.thenewstribune.com/profile/218647760,paywall,manual_only,"Tacoma beat archive.",2026-08-21
local-writer-curtis-crabtree,article_author,https://www.fox13seattle.com/person/c/curtis-crabtree,free,metadata_and_summary,"FOX 13 archive with recurring Seahawks camp notebooks.",2026-08-21
local-writer-corbin-smith,podcast,https://podcasts.apple.com/us/podcast/locked-on-seahawks-daily-podcast-on-the-seattle-seahawks/id1151621299,free,manual_only,"Daily reporting and analysis.",2026-08-21
local-writer-matty-f-brown,newsletter,https://www.seahawksontape.com/,paywall,manual_only,"Scheme and All-22 analysis.",2026-08-21
local-writer-brian-nemhauser,independent_site,https://www.hawkblogger.com/,free,manual_only,"Camp, interviews, analysis.",2026-08-21
local-writer-john-boyle,article_author,https://www.seahawks.com/author/john-boyle,free,metadata_and_summary,"Official archive.",2026-08-21
local-writer-dave-wyman,radio,https://sports.mynorthwest.com/category/seahawks/,free,manual_only,"Radio and film analysis.",2026-08-21
local-writer-jen-mueller,radio,https://www.seahawks.com/audio/,free,metadata_and_summary,"Sideline and interview audio.",2026-08-21
local-source-pro-football-reference,data,https://www.pro-football-reference.com/teams/sea/2026.htm,free,structured_data,"Stats and snaps.",2026-08-21
local-source-over-the-cap,contract_data,https://overthecap.com/team/seattle-seahawks,free,structured_data,"Cap and contracts.",2026-08-21
