coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-demeco-ryans,DeMeco Ryans,all,Head Coach,true,Head Coach,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-nick-caley,Nick Caley,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-matt-burke,Matt Burke,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-frank-ross,Frank Ross,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-stephen-adegoke,Stephen Adegoke,defense,Safeties,true,Safeties,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-sean-baker,Sean Baker,defense,Defensive / Special Teams Assistant,true,Defensive / Special Teams Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-danny-barrett,Danny Barrett,offense,Assistant Head Coach / Running Backs,true,Assistant Head Coach / Running Backs,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-will-burnham,Will Burnham,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-bill-davis,Bill Davis,defense,Linebackers,true,Linebackers,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-taylor-embree,Taylor Embree,offense,Offensive Assistant,true,Offensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-james-ferentz,James Ferentz,offense,Tight Ends,true,Tight Ends,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-bill-lazor,Bill Lazor,defense,Senior Defensive Assistant,true,Senior Defensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-ben-mcdaniels,Ben McDaniels,offense,Wide Receivers / Offensive Passing Game Coordinator,true,Wide Receivers / Offensive Passing Game Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-frank-okam,Frank Okam,defense,Assistant Defensive Line,true,Assistant Defensive Line,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-cole-popovich,Cole Popovich,offense,Offensive Line / Offensive Run Game Coordinator,true,Offensive Line / Offensive Run Game Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-asauni-rufus,Asauni Rufus,offense,Offensive Assistant,true,Offensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-jerry-schuplinski,Jerry Schuplinski,offense,Quarterbacks,true,Senior Offensive Assistant / Pass Game Specialist,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-mark-sheridan,Mark Sheridan,defense,Defensive Assistant,true,Defensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-jay-simpson,Jay Simpson,defense,Defensive Assistant,true,Defensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-tiquan-underwood,Tiquan Underwood,offense,Assistant Wide Receivers,true,Assistant Wide Receivers,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-cory-undlin,Cory Undlin,defense,Defensive Passing Game Coordinator,true,Defensive Passing Game Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-dino-vasso,Dino Vasso,defense,Defensive Backs,true,Defensive Backs,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-alex-ward,Alex Ward,offense,Offensive Assistant,true,Offensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-cole-weeks,Cole Weeks,offense,Offensive Assistant,true,Offensive Assistant,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-rod-wright,Rod Wright,defense,Defensive Line / Defensive Run Game Coordinator,true,Defensive Line / Defensive Run Game Coordinator,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17
local-coach-jake-olson,Jake Olson,all,Assistant to the Head Coach,true,Assistant to the Head Coach,https://www.houstontexans.com/news/houston-texans-announce-2026-coaching-staff,2026-08-17

