coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-todd-monken,Todd Monken,all,Head Coach,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-travis-switzer,Travis Switzer,offense,Offensive Coordinator,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-mike-rutenberg,Mike Rutenberg,defense,Defensive Coordinator,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-byron-storer,Byron Storer,special_teams,Special Teams Coordinator,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-danny-breyer,Danny Breyer,offense,Pass Game Coordinator,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-jeff-blasko,Jeff Blasko,offense,Run Game Coordinator/Tight Ends,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-george-warhop,George Warhop,offense,Offensive Line,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-mike-bajakian,Mike Bajakian,offense,Quarterbacks,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-christian-jones,Christian Jones,offense,Wide Receivers,true,Tight Ends,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-duce-staley,Duce Staley,offense,Running Backs,true,Running Backs,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-jason-tarver,Jason Tarver,defense,Run Game Coordinator/Linebackers,true,Linebackers,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-ephraim-banda,Ephraim Banda,defense,Pass Game Coordinator,true,Safeties,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-jacques-cesaire,Jacques Cesaire,defense,Defensive Line,true,Defensive Line,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-brandon-lynch,Brandon Lynch,defense,Defensive Backs/Pass Game Specialist,true,Cornerbacks,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
local-coach-dom-capers,Dom Capers,defense,Senior Defensive Assistant,false,,https://www.clevelandbrowns.com/news/browns-finalize-the-2026-coaching-staff,2026-08-13
