player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Jacoby Brissett,QB,New contract,2026-07-26,Projected starter on official depth chart,Bridge starter ahead of Gardner Minshew II and rookie Carson Beck,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Gardner Minshew II,QB,Free-agent signing,2026-03-12,Second quarterback on official depth chart,Veteran backup and preseason bridge option,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Tyler Allgeier,RB,Free-agent signing,2026-03-12,First running back on official depth chart,Co-RB1/early-down competitor with Jeremiyah Love James Conner and Trey Benson,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Kendrick Bourne,WR,Free-agent signing,2026-03-12,Starting wide receiver on official depth chart,Veteran No. 3 receiver candidate behind Marvin Harrison Jr. and Michael Wilson,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Devin Duvernay,WR,Free-agent signing,2026-03-18,Second-team WR and first-team returner on official depth chart,Return specialist and receiver depth,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Isaac Seumalo,OL,Free-agent signing,2026-03-11,Starting left guard on official depth chart,Veteran stabilizer on rebuilt offensive line,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Elijah Wilkinson,OL,Free-agent signing,2026-03-12,Starting right tackle on official depth chart,Right tackle bridge option with Jayden Williams and Demontrey Jacobs behind him,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Matt Pryor,OL,Free-agent signing,2026-03-12,Backup tackle on official depth chart,Swing tackle/depth,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Oli Udoh,OL,Free-agent signing,2026-03-20,Interior offensive-line depth on official depth chart,Guard/tackle depth after Chase Bisontis injury,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Roy Lopez,DL,Free-agent signing,2026-03-11,Starting nose tackle on official depth chart,Nose tackle/front stability,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Andrew Billings,DL,Free-agent signing,2026-03-16,Nose tackle rotation on official depth chart,Run-defense depth,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Jonah Williams,DL,Free-agent signing,2026-03-12,Defensive line rotation on official depth chart,Interior defensive depth,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Jack Gibbens,LB,Free-agent signing,2026-03-16,Second-team inside linebacker/started preseason with Cody Simon,Linebacker depth and potential early-down snaps,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Andrew Wingard,S,Free-agent signing,2026-03-16,Starting safety on official depth chart,Safety starter next to Budda Baker baseline,https://www.azcardinals.com/team/transactions/2026,2026-08-17
Isaiah Oliver,S,Free-agent signing,2026-06-04,Safety depth on official depth chart,Defensive back depth and subpackage flexibility,https://www.azcardinals.com/team/transactions/2026,2026-08-17
