source_id,endpoint_type,url,access,automation_suitability,notes,last_verified
local-source-buffalo-bills,official_news,https://www.buffalobills.com/news/,free,metadata_and_summary,Team news and daily training-camp report index.,2026-08-20
local-source-buffalo-bills,official_roster,https://www.buffalobills.com/team/players-roster/,free,structured_page,Current active roster and reserve lists.,2026-08-20
local-source-buffalo-bills,player_page,https://www.buffalobills.com/team/players-roster/james-cook/,free,structured_page,Official player bio and season statistics.,2026-08-20
local-source-espn-bills,camp_intel,https://www.espn.com/nfl/story/_/id/49434544/buffalo-bills-training-camp-2026-intel-updates,free,metadata_and_summary,Updated in place through camp; record retrieval date with any claim.,2026-08-20
local-writer-katherine-fitzgerald,collection,https://buffalonews.com/sports/professional/nfl/bills/,mixed,manual_retrieval,September 6 request redirected to a Tollbit application/json endpoint; no article body inspected. Current independent newspaper coverage remains an access gap.,2026-09-06
local-source-si-bills-central,team_site,https://www.si.com/nfl/bills/,free,metadata_and_summary,Snap-count and depth-chart analysis posts.,2026-08-20
local-source-buffalo-rumblings,team_site,https://www.buffalorumblings.com/,free,metadata_and_summary,Scouting reports and roster analysis.,2026-08-20
local-source-pro-football-reference,player_stats,https://www.pro-football-reference.com/players/C/CookJa01.htm,free,structured_page,Returned HTTP 403 to automated retrieval on 2026-08-20; use a browser or an alternate stats source.,2026-08-20
local-writer-joe-buscaglia,outlet_profile,https://www.nytimes.com/athletic/author/joe-buscaglia/,paid,manual_retrieval,Canonical Athletic author endpoint; September 6 non-retryable web retrieval failure. Registration repair does not imply accessible article content.,2026-09-06
local-writer-joe-buscaglia,outlet_landing,https://www.nytimes.com/athletic/nfl/team/bills/,paid,manual_retrieval,Athletic Bills feed; September 6 non-retryable web retrieval failure. Use an authorized browser or the independent Sal Capaccio fallback.,2026-09-06
local-writer-joe-buscaglia,social_profile,https://bsky.app/profile/joebuscaglia.bsky.social,free,manual_retrieval,Readable self-identification as Athletic Bills reporter; post timeline requires JavaScript. Identity corroboration only; insufficient alone to reverify outlet assignment.,2026-09-06
local-writer-joe-buscaglia,podcast,https://podcasts.apple.com/us/podcast/joe-b-football/id6803317636,free,manual_retrieval,Joe B. Football publisher metadata appeared in search; direct page could not be opened. Do not assume old Buffalo Beat branding remains current or treat metadata as listened audio.,2026-09-06
local-writer-sal-capaccio,outlet_profile,https://www.audacy.com/wgr550/authors/sal-capaccio,free,metadata_and_summary,Author identity readable; visible article list is older than the current Bills section. Not sufficient as the sole current feed.,2026-09-06
local-writer-sal-capaccio,outlet_landing,https://www.audacy.com/wgr550/sports/bills,free,metadata_and_summary,Usable September 6 Bills news section with current articles. Mixed bylines: inspect the supporting article before attributing to Capaccio.,2026-09-06
local-writer-sal-capaccio,reporting_example,https://www.audacy.com/wgr550/sports/bills/bills-get-key-players-back-at-practice-tuesday,free,metadata_and_summary,September 1 2026 15:40 ET bylined article body opened September 6; contains original practice observations and separately attributed material. Access test only; no football observation emitted.,2026-09-06
local-source-nfl-gamebooks,official_game_center,https://www.nfl.com/scores/,free,manual_retrieval,Scores/game-center index opened September 6. Retrieve the specific completed-game book; index alone is not participation evidence.,2026-09-06
local-source-two-bills-drive,outlet_landing,https://www.twobillsdrive.com/,free,metadata_and_summary,Working dated news aggregation index verified September 6. Discovery links only; follow originals and preserve their dates/bylines.,2026-09-06
