player,position,retention_type,transaction_date,through_season,reported_value,strategic_signal,source_url,last_verified
Jakobi Meyers,WR,extension,2025-12-19,2028,,Locks in a high-volume veteran target acquired during the 2025 playoff push,https://www.jaguars.com/news/k000227-roster-moves-jaguars-extend-wr-jakobi-meyers,2026-08-17
DeeJay Dallas,RB,re-signed,2026-02-16,2026,,Retains backfield and return depth after late-2025 addition,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Matt Dickerson,DT,re-signed,2026-02-16,2026,,Retains defensive-tackle depth after four starts in 2025,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Christian Braswell,CB,ERFA re-signed,2026-02-19,2026,,Keeps cornerback and special-teams depth in a deep secondary,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Keith Taylor,CB,RFA re-signed,2026-02-20,2026,,Retains late-2025 cornerback depth,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Quintin Morris,TE,re-signed,2026-03-05,2026,,Keeps veteran tight-end depth before heavier 12 and 13 personnel additions,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Montaric Brown,CB,re-signed,2026-03-09,2026,,Retains projected starting corner after team-high 12 passes defensed in 2025,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Dennis Gardeck,LB,re-signed,2026-03-09,2026,,Retains linebacker and edge-flex depth after six 2025 starts,https://www.jaguars.com/news/k000591-2026-jaguars-free-agent-tracker,2026-08-17
Travon Walker,DE,extension,2026-04-04,2030,four-year extension,Confirms Walker as a defensive foundation piece and potential edge/interior rush mover,https://www.jaguars.com/news/k000600-roster-moves-jaguars-extend-de-travon-walker,2026-08-17
Anton Harrison,OL,fifth-year option,2026-04-20,2027,,Keeps tackle control as Harrison moves to the left side in the first unofficial depth chart,https://www.jaguars.com/news/roster-moves,2026-08-17
Ross Matiscik,LS,extension,2026-06-17,2028,two-year extension,Stabilizes an elite special-teams operation with Cam Little and Logan Cooke,https://www.jaguars.com/news/jaguars-extend-ls-ross-matiscik,2026-08-17
Brenton Strange,TE,extension,2026-06-25,2029,,Signals tight end as a core offensive position while the offense evolves toward heavier personnel,https://www.jaguars.com/news/on-to-26-strange-staying-home-with-jaguars,2026-08-17
