source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-new-orleans-saints,organization,New Orleans Saints communications,New Orleans Saints,Official team communications,official,essential,active,free,"injuries; transactions; roster; press conferences; camp takeaways","Source of record for club announcements; editorial content is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve the specific official record.",,,,2026-08-21
local-writer-katherine-terrell,person,Katherine Terrell,ESPN,Saints reporter (NFL Nation),reporting,essential,active,free,"daily beat; injuries; roster; organizational context","Current ESPN Saints reporter since returning to the beat in 2022.",,,,2026-08-21
local-writer-nick-underhill,person,Nick Underhill,NewOrleans.Football,Founder and Saints reporter,reporting,essential,active,paywall,"sourced reporting; camp observations; film; scheme; player development","Subscription; separate reporting from interpretation.",,,,2026-08-21
local-writer-mike-triplett,person,Mike Triplett,NewOrleans.Football,Saints reporter,reporting,essential,active,paywall,"beat reporting; roster; organization; institutional context","Current NOF role; older ESPN affiliation is stale.",ESPN Saints reporter,,,2026-08-21
local-writer-john-hendrix,person,John Hendrix,NewOrleans.Football,Saints reporter and analyst,reporting,valuable,active,paywall,"camp reports; roster projections; collaborative analysis","Subscription; identify the individual byline on collaborative work.",,,,2026-08-21
local-writer-matthew-paras,person,Matthew Paras,NOLA.com / The Times-Picayune,Saints beat reporter,reporting,essential,active,paywall,"daily beat; camp; injuries; personnel usage","Major local newspaper beat; do not reproduce paid text.",,,,2026-08-21
local-writer-luke-johnson,person,Luke Johnson,NOLA.com / The Times-Picayune,Saints staff writer,reporting,essential,active,paywall,"daily beat; offensive roles; roster; camp observations","Current Times-Picayune staff writer with recurring Saints beat and Saints Insider work.",,,,2026-08-21
local-writer-rod-walker,person,Rod Walker,NOLA.com / The Times-Picayune,Sports columnist,commentary,valuable,active,paywall,"enterprise; players; coaching; organizational context","Columnist; separate reporting from opinion.",,,,2026-08-21
local-writer-jeff-duncan,person,Jeff Duncan,NOLA.com / The Times-Picayune,Sports columnist and Saints insider,reporting,valuable,active,paywall,"breaking news; camp observations; organization; enterprise","Columnist with original reporting; distinguish sourced facts from opinion.",,,,2026-08-21
local-writer-ross-jackson,person,Ross Jackson,LouisianaSports.net / Locked On Saints,Saints reporter and analyst,team_analysis,essential,active,free,"daily audio; role and scheme; roster; interviews","High cadence; distinguish original reporting from interpretation and aggregation.",,,,2026-08-21
local-writer-james-skrmetta,person,James Skrmetta,Independent,Saints film analyst and podcast host,film_analysis,valuable,active,free,"film; scheme; player development; role projection","Analyst rather than credentialed daily beat; use after establishing reported facts.",,,,2026-08-21
local-writer-jeff-nowak,person,Jeff Nowak,WWL Radio,Saints reporter and radio sideline reporter,reporting,essential,active,free,"camp updates; breaking news; interviews; radio","Use original WWL reporting; radio commentary is not an official record.",,,,2026-08-21
local-writer-deuce-mcallister,person,Deuce McAllister,WWL Radio,Saints radio color analyst,film_analysis,valuable,active,free,"run game; personnel fit; former-player analysis; radio","Team radio analyst and former player; interpretation is useful but not independent reporting.",,,,2026-08-21
local-writer-john-deshazier,person,John DeShazier,New Orleans Saints,Senior writer,official,valuable,active,free,"interviews; practice takeaways; institutional context","Team-employed official voice; not independent.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics and roster database,data,valuable,active,free,"historical stats; roster; snaps; game logs","Snap counts are an unofficial convenience source.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Salary-cap and contract database,contract_data,valuable,active,free,"contracts; cap; dead money; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
