player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
David Montgomery,RB,Trade acquisition,2026-03-11,active,Projected lead early-down and scoring-area back after Joe Mixon's release,https://www.houstontexans.com/news/houston-texans-transactions-3-11-2026,2026-08-17
Reed Blankenship,S,Unrestricted free-agent signing,2026-03-13,active,Veteran safety addition in a room with Jalen Pitre Calen Bullock M.J. Stewart and Kamari Ramsey,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Logan Hall,DE,Unrestricted free-agent signing,2026-03-13,active,Big defensive end depth behind Will Anderson Jr. Danielle Hunter and later Jadeveon Clowney,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Jake Hummel,LB,Unrestricted free-agent signing,2026-03-13,active,Linebacker depth and special-teams competition,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Dominique Robinson,DE,Unrestricted free-agent signing,2026-03-13,active,Rotational edge/depth competition,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Braden Smith,OT,Unrestricted free-agent signing,2026-03-13,active,Right-tackle or swing-tackle competition in a rebuilt line,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Evan Brown,C/G,Free-agent signing,2026-03-16,active,Center/guard competition and veteran interior depth,https://www.houstontexans.com/news/houston-texans-transactions-3-16-2026,2026-08-17
Foster Moreau,TE,Unrestricted free-agent signing,2026-03-16,active,Veteran tight end adding inline and receiving depth behind Dalton Schultz,https://www.houstontexans.com/news/houston-texans-transactions-3-16-2026,2026-08-17
Wyatt Teller,G,Unrestricted free-agent signing,2026-03-19,active,Projected high-leverage interior-line addition for run-game physicality and protection stability,https://www.houstontexans.com/news/houston-texans-2026-free-agency-tracker,2026-08-17
Jadeveon Clowney,DE,Free-agent signing,2026-07-07,active,Veteran edge added to an already strong pass-rush room with Anderson and Hunter,https://www.houstontexans.com/team/transactions/2026,2026-08-17

