source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-los-angeles-chargers,organization,Los Angeles Chargers communications,Los Angeles Chargers,Official team communications,official,essential,active,free,"transactions; roster; depth chart; injuries; transcripts; press conferences","Source of record for team announcements; team-produced editorial and analysis are not independent.",,,,2026-08-16
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific book or game center as the postgame source of record.",,,,2026-08-16
local-writer-kris-rhim,person,Kris Rhim,ESPN NFL Nation,Los Angeles Chargers reporter,reporting,essential,active,mixed,"beat reporting; injuries; roster; team context","ESPN's current biography identifies Rhim as its Chargers NFL Nation reporter.",,,,2026-08-16
local-writer-fernando-ramirez,person,Fernando Ramirez,The Sporting Tribune,Chargers beat reporter,reporting,essential,active,free,"camp observations; personnel usage; roster; local reporting","Separate firsthand reporting from commentary and podcast discussion.",,,,2026-08-16
local-writer-joaquin-ruiz,person,Joaquin Ruiz,Los Angeles Times,Chargers reporter,reporting,essential,active,mixed,"practice observations; injuries; scheme; team context","Use dated observations and distinguish reporting from broader analysis.",,,,2026-08-16
local-writer-eric-smith,person,Eric Smith,Los Angeles Chargers,Editorial director,team_analysis,essential,active,free,"camp reports; interviews; position previews; team context","Team employee; valuable access but not organizationally independent.",,,,2026-08-16
local-writer-omar-navarro,person,Omar Navarro,Los Angeles Chargers,Writer,team_analysis,essential,active,free,"position previews; roster features; camp reports","Team employee; roster facts can be authoritative while evaluations require corroboration.",,,,2026-08-16
local-writer-sam-farmer,person,Sam Farmer,Los Angeles Times,NFL reporter,reporting,valuable,active,mixed,"NFL context; selected on-site Chargers coverage; coaching","Broader NFL remit and not a daily Chargers-only feed.",,,,2026-08-16
local-writer-daniel-popper,person,Daniel Popper,The Athletic,National NFL writer,reporting,valuable,inactive,paid,"personnel; contracts; salary cap; historical Chargers context","Not a daily Chargers beat source after his July 2026 move to a national role.",Los Angeles Chargers beat writer,2026-07-27,,2026-08-16
local-source-pfr,organization,Pro Football Reference,Sports Reference,Structured football reference,data,valuable,active,free,"game logs; snap counts; rosters; history","Snap counts are identified as unofficial; verify consequential discrepancies.",,,,2026-08-16
local-source-over-the-cap,organization,Over the Cap,Over the Cap,NFL contract and salary-cap reference,contract_data,valuable,active,free,"contracts; cap charges; dead money; roster management","Third-party contract interpretation; cross-check unusual or consequential figures.",,,,2026-08-16
local-source-spotrac,organization,Spotrac,Spotrac,Sports contract and transaction reference,contract_data,valuable,active,mixed,"contracts; transactions; roster","Useful cross-check; not an official transaction notice or contract filing.",,,,2026-08-16
local-source-pff,organization,Pro Football Focus,PFF,Football charting and evaluation service,data,valuable,active,paid,"grades; charting; alignments; routes; pressures","Proprietary methodology; grades are evaluations and paid exports must not be committed.",,,,2026-08-16

