player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Colby Wooden,DT,trade,2026-03-11,active,Interior rotation piece acquired for Zaire Franklin with three-to-five-technique fit,https://www.colts.com/news/colby-wooden-defensive-tackle-green-bay-packers-trade-zaire-franklin,2026-08-17
Arden Key,DE,unrestricted_free_agent,2026-03-13,active,Veteran edge rotation after Kwity Paye and Samson Ebukam departures,https://www.colts.com/news/colts-free-agent-signings-add-depth-and-versatility-to-defensive-line,2026-08-17
Micheal Clemons,DE,unrestricted_free_agent,2026-03-13,active,Veteran edge and defensive-line depth,https://www.colts.com/news/colts-free-agent-signings-add-depth-and-versatility-to-defensive-line,2026-08-17
Derrick Nnadi,DT,unrestricted_free_agent,2026-03-13,active,Nose tackle depth behind Grover Stewart,https://www.colts.com/news/2026-nfl-free-agency-tracker-daniel-jones-alec-pierce,2026-08-17
Jerry Tillery,DT,unrestricted_free_agent,2026-03-18,active,Interior defensive-line rotational flexibility,https://www.colts.com/news/colts-free-agent-signings-add-depth-and-versatility-to-defensive-line,2026-08-17
Akeem Davis-Gaither,LB,unrestricted_free_agent,2026-03-30,active,Linebacker competition with prior Lou Anarumo experience,https://www.colts.com/news/colts-pleased-with-depth-upside-of-defense-in-2026,2026-08-17
Cam Taylor-Britt,CB,unrestricted_free_agent,2026-03-17,active,Cornerback depth and matchup option with prior Anarumo experience,https://www.colts.com/news/colts-sign-free-agent-cb-cam-taylor-britt-lou-anarumo-bengals-connection,2026-08-17
Jonathan Owens,S,unrestricted_free_agent,2026-03-30,active,Safety competition after Nick Cross and Rodney Thomas II departures,https://www.colts.com/news/colts-pleased-with-depth-upside-of-defense-in-2026,2026-08-17
Juanyeh Thomas,S,unrestricted_free_agent,2026-03-30,active,Safety competition and special-teams depth,https://www.colts.com/news/colts-pleased-with-depth-upside-of-defense-in-2026,2026-08-17
Nick Westbrook-Ikhine,WR,unrestricted_free_agent,2026-04-21,active,Outside receiver competition after Michael Pittman Jr. trade,https://www.colts.com/news/colts-announce-jersey-numbers-for-2026-free-agents,2026-08-17
Nasir Adderley,S,unrestricted_free_agent,2026-04-21,active,Safety depth competition,https://www.colts.com/news/colts-announce-jersey-numbers-for-2026-free-agents,2026-08-17
