player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Dante Pettis,WR,depth receiver and return option,left club in 2026 offseason,2026-03-11,unknown,Removes one veteran depth option from a receiver room rebuilt around Chris Olave and rookie additions,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Taysom Hill,TE,hybrid offensive weapon,left club in 2026 offseason,2026-03-11,unknown,Ends a unique package-player role; do not project a one-for-one replacement,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Foster Moreau,TE,rotational tight end,left club in 2026 offseason,2026-03-11,Houston Texans,Opens tight-end snaps behind Juwan Johnson for Noah Fant and rookie Oscar Delp,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Jack Stoll,TE,blocking tight end,left club in 2026 offseason,2026-03-11,Cleveland Browns,Further resets tight-end depth and blocking personnel,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Luke Fortner,C,interior offensive-line depth,left club in 2026 offseason,2026-03-11,Carolina Panthers,Reduces backup center depth after Saints added veteran interior help,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Jonathan Bullard,DL,defensive-line veteran,left club in 2026 offseason,2026-03-11,Dallas Cowboys,Part of defensive-line turnover offset by Christen Miller and John Ridgeway,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Jonah Williams,DL,defensive-line depth,left club in 2026 offseason,2026-03-11,Arizona Cardinals,Part of defensive-line depth turnover,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Demario Davis,LB,defensive captain and leading tackler,left club in 2026 offseason,2026-03-11,New York Jets,Major leadership and tackle-volume loss; Kaden Elliss and Pete Werner become central linebacker reads,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Michael Davis,CB,cornerback depth,left club in 2026 offseason,2026-03-11,unknown,Contributes to secondary depth churn behind the starters,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
Alontae Taylor,CB,starting/nickel corner,left club in 2026 offseason,2026-03-11,Tennessee Titans,Removes a versatile defensive back from Brandon Staley's hybrid coverage plan,https://www.nfl.com/news/2026-nfl-free-agency-free-agents-notable-departures-for-all-32-teams,2026-08-17
